movie_id,plot,reference_summary,genre
6835148,"Henery Hawk discusses his cravings with his father, who then tells him ""Your mother and I are outcasts, hated and hunted because of what we are: Chicken hawks."" Ashamed, he explains that Henery is also a chicken hawk and as such must feed on chickens. More enthusiastic than his father, Henery Hawk sets out to find a chicken, however, as he tries to fly, he falls from the tree and tells the audience ""Someday I gotta learn to fly."" Meanwhile, in a barnyard, the Barnyard Dawg deliberately throws a bucket of water on an unsuspecting Foghorn Leghorn, who is done filing his nails, muttering to himself while thinking of the Dawg ""EVERYDAY IS THE SAME THING!"". Just as the Dawg goes to sleep, Foghorn deliberately spanks the Dawg with a paddle, angering the Dawg into chasing Foghorn, only the Dawg gets choked by the leash and falls. The Dawg now angrily barks at Foghorn, who then deliberately slaps the Dawg, yelling ""Ah, SHUT UP!"" and walks away. Henery meets Foghorn, who, seeing the hawk as a potential pawn against the Dawg, tells Henery he is a horse and that the Dawg is a chicken and Henery Hawk goes up to the Dawg and deliberately bites the Dawg in the tail, causing the Dawg to wake up from his nap in pain and Henery warns the Dawg ""Are you gonna come quietly or do I have to muss ya up?!"", but the Dawg chases Henery, but gets choked on the leash again and falls again while Foghorn whacks the Dawg in the head like he's playing Croquet with croquet mallet and runs with the Dawg angrily barking again, only with a headache. Henery is still running, but Foghorn tells Henery not to give up and Henery literally carries the Dog house with the Dawg in it like a train while the Dawg investigates with a Mirror, sees Henery and lifts up his house and gives chase but is choked and falls again and Foghorn deliberately puts a knight's Helmet on the Dawg and whacks the Dawg in the side of the head many times causing the Dawg's head to literally shake inside. Foghorn tells Henery that the Dawg is a ""foxy chicken"" and they have to ""outsmart him"" and Foghorn whispers the plan into Henery's ear. Henery lures the Dawg out of his house by drawing a doorbell and presses it and plays a piano while the Dawg dances to the music and the Dawg gets whacked and trips over various objects while walking clumsily and landing on a rollerskate. When the Dawg surrenders and asks Henery what he is looking for, Henery tells the Dawg ""You're a chicken, I'm a chicken hawk, and I'm gonna eat chicken!"", the Dawg realizes he's been the victim of Foghorn's prank and points out ""I'm NO chicken! THAT'S a chicken!"" and Foghorn accuses the Dawg, ""Don't you, I say don't you call ME a chicken, YOU chicken!"" Henery realizes he's been tricked and he releases the Dawg on Foghorn which starts a brawl between the two of them, only this time, Foghorn is now running while the angry Dawg is now on the warpath against Foghorn. When the brawl takes them into a barn, an ACTUAL horse forcibly ejects them, clunking their heads together in the process. The two foes, shaking hands to prove solidarity, re-enter to double-team the horse. Finally, Henery captures Foghorn, the Dawg, and the horse, mimicking Foghorn and telling the camera that ""One of these things, I SAY, ONE OF THESE THINGS, has GOT to be a chicken!"" as the cartoon irises out.","Henery Hawk discusses his cravings with his father, who then tells him ""Your mother and I are outcasts, hated and hunted because of what we are: Chicken hawks."" Ashamed, he explains that Henery is also a chicken hawk and as such must feed on chickens. More enthusiastic than his father,",Family Film
27978764,"American Loser is a comedy-drama based upon the experiences of comedian Jeff Nichols; it follows Jeff as he encounters a remarkable varienty of personal and emotional problems. Edging closer to his thirties Jeff  has a heavy drinking problem coupled with ADHD, dyslexia and a mild case of Tourette syndrome as constant absent-mindedness. He spends most of his time attending support meetings including ones which have no connection to the problems he suffers. Jeff pins the cause of his problems on his wealthy parents Cynthia ([[Deirdre O'Connell  and Mike . After being evicted from the garage he rents, with nowhere left to go manages to connect with Lynn , a woman he met at a support group for people with relationship problems.","American Loser is a comedy-drama based upon the experiences of comedian Jeff Nichols; it follows Jeff as he encounters a remarkable varienty of personal and emotional problems. Edging closer to his thirties Jeff has a heavy drinking problem coupled with ADHD, dyslexia and a mild case of Tourette syndrome as",Romantic comedy
67415,"Back in 1983 Mason Storm  is a Los Angeles police detective who is investigating a mob meeting taking place by a pier. He spies on them with a video camera and captures on tape a shadowy figure telling the other people that they can rely on his political support, emphasizing this by saying ""And you can take that to the bank!"" Storm is spotted but manages to get away. Driving home and unaware of another pair of cops listening in, Mason informs first his partner then his friend Lt. O'Malley  that he has evidence of corruption, and will be bringing the tape to them soon. He goes into a store to get Champagne and a teddy bear to give to his son. The store is robbed, with one of the robbers shooting the clerk. Mason manages to stop them and afterwards goes home, intent on celebrating with his wife Felicia . Before he does anything else, Mason hides the tape in a small hole in his kitchen wall. When he goes upstairs, a hit squad composed of corrupt policemen, including Jack Axel  and Max Quentero , working for the politician, break in and proceed to murder Mason's wife and shoot him. Mason's young son Sonny,  manages to hide until the danger passes. At the same time, Storm's partner is shot by a masked assassin whilst seated beside his window. At the hospital, Mason is found to be alive, but in a coma. Lieutenant O'Malley informs the medics to tell people that Mason died, to prevent anyone from coming back for him later. Mason is set up by the corrupt policemen as having murdered his wife and committed suicide.  Seven years later, Mason wakes from his coma. Andy , one of the two nurses monitoring him, makes a phone call, which is intercepted by one of the corrupt police officers who want to see Mason dead. They send Jack Axel to the hospital to finish the job and kill the nurses to whom Mason might have talked. Mason realizes that he is still in danger but his muscles have atrophied to where he can barely use his arms. He manages to get himself to an elevator, and when Andy sees her colleagues killed, she helps Mason escape from the hospital. Needing time to recuperate, Andy brings Mason to a friend's house, where Mason uses his knowledge of acupuncture, moxibustion and other meditation techniques to recover his strength. While training, Mason hears a commercial for Senator Vernon Trent ([[William Sadler  on television, who caps the commercial with the phrase, ""And you can take that to the bank!"" Recognizing the voice, Mason now knows who he has to go after to get his revenge and even mocks Trent's phrase by saying ""I'm gonna take you to the bank, Senator Trent. To the blood bank!"". Mason contacts O'Malley, who comes over with some weapons for Mason. O'Malley tells Mason that his son is still alive - O'Malley took Mason's son in and raised him, sending him to a private school so that he would be out of danger. O'Malley then leaves. However, Senator Trent's men find the house where Mason and Andy are and attempt to kill them, but Mason manages to get them both out again. Mason then goes back to his old house. Posing as realtors looking to see if the house is one that can be put on the market, Mason breaks through the plaster in the kitchen to get the tape he hid. Mason then goes to meet O'Malley in a train station, where O'Malley brings Mason's now teenage son. They do not see each other, because as Mason arrives, O'Malley is already dead having been shot  after giving the tape to Andy for safe-keeping while providing a distraction for Sonny  to get away. When Mason arrives, he sees his son running away from two of the corrupt officers . Mason catches up with the men, kills Max and saves his son and decides to go after Senator Trent at his home. At the Senator's mansion, Mason sneaks in and manages to take the Senator's men down one by one. Mason fights with Axel in the billiard room, ending with him jamming a pool stick into his neck. Mason finally manages to confront Senator Trent and holds him at gunpoint when the police storm the mansion. However, rather than arresting Mason, the police arrest Senator Trent and take him away. Mason is then reunited with Andy and his son and walk off as the image from the videotape is played, showing Trent coming out of the shadows briefly, wondering who it is that is taping him.","Back in 1983 Mason Storm is a Los Angeles police detective who is investigating a mob meeting taking place by a pier. He spies on them with a video camera and captures on tape a shadowy figure telling the other people that they can rely on his political support, emphasizing",Thriller
19773013,"A band of ruthless international terrorists led by Josef Szabo  hijack a speeding railroad train loaded with a full arsenal of powerful military weaponry capable of threatening world peace. The only hero who can stop the terrorists scheme for world domination is Jack DeForest . During the battle between good and evil the hero DeForest accidentally kills the son of the Szabo. Seeking revenge Szabo locates DeForest’s family, murders his wife and kidnaps their teenage son thereby turning their fight it into a personal vendetta. So, DeForest must fight not only to save the world, but for his only remaining family.",A band of ruthless international terrorists led by Josef Szabo hijack a speeding railroad train loaded with a full arsenal of powerful military weaponry capable of threatening world peace. The only hero who can stop the terrorists scheme for world domination is Jack DeForest . During the battle between good,Drama
30463556,"Dolphin researchers suspect the US Navy's sonar program is causing dolphin deaths. When the US Navy abducts a scientific research dolphin, a teenage dolphin researcher, Alyssa Hawk, risks getting caught to save the dolphin.","Dolphin researchers suspect the US Navy's sonar program is causing dolphin deaths. When the US Navy abducts a scientific research dolphin, a teenage dolphin researcher, Alyssa Hawk, risks getting caught to save the dolphin.",Romantic drama
660343,"C.R. ""Mac"" MacNamara is a high-ranking executive in the Coca-Cola Company, assigned to West Berlin after a business fiasco a few years earlier in the Middle East . Nevertheless, Mac is angling to become head of Western European Coca-Cola Operations, based in London. After working on an arrangement to introduce Coke into the Soviet Union, Mac receives a call from his boss, W.P. Hazeltine in Atlanta. Scarlett Hazeltine, the boss's hot-blooded 17-year-old socialite daughter, is coming to Berlin and Mac receives the unenviable task of taking care of this young whirlwind. An expected two-week stay develops into two months, and Mac discovers just why Scarlett is enamored of Berlin—she surprises him by announcing that she's married to a young man, Otto Piffl, who happens to be an East German Communist with ardent anti-capitalism views. The socialite couple are bound for Moscow to make a new life for themselves . Since Hazeltine and his wife are coming to Berlin to collect their daughter the very next day, this is obviously a disaster of monumental proportions, and Mac deals with it as any good capitalist would &mdash; by framing the young Communist firebrand and having him picked up by the Stasi, the East German secret police, who later force Otto to sign a confession that he's an American spy . Under pressure from his stern and disapproving wife , and with the revelation that Scarlett is pregnant, Mac sets out to bring Otto back with the help of his new Russian business associates. With the boss on the way, he finds that his only chance is to turn Otto into a son-in-law in good standing &mdash; which means, among other things, making him a capitalist with an aristocratic pedigree . In the end, the Hazeltines approve of their new son-in-law (upon which Mac learns from Hazeltine that Otto will be named the new head of Western European Operations—with Mac getting a promotion to VP of Procurement  Mac reconciles with his family at the airport, and to celebrate his promotion, offers to buy his family a Coke. Ironically, after handing out the Cokes to his family, he realizes upon inspection that the final bottle he takes for himself is actually Pepsi-Cola.{{cite web}}","C.R. ""Mac"" MacNamara is a high-ranking executive in the Coca-Cola Company, assigned to West Berlin after a business fiasco a few years earlier in the Middle East . Nevertheless, Mac is angling to become head of Western European Coca-Cola Operations, based in London. After working on an arrangement to introduce",Parody
7586530,"Twice divorced Jackie Millet tries one more time with number three. Unfortunately, her wedding is suddenly halted when the woman's son kills the groom during the ceremony, and then shoots himself.","Twice divorced Jackie Millet tries one more time with number three. Unfortunately, her wedding is suddenly halted when the woman's son kills the groom during the ceremony, and then shoots himself.",Drama
28344827,"Curley  is a lift operator in a block of exclusive London apartments. Emily  is a cleaning-girl with a client, Canley , in the block, and she and Curley are attracted to one another and long to be married, but their poor economic prospects stand in the way. Emily has to spend some days in hospital, and Curley wants to treat her when she returns. He decides to prepare her a special dinner, using an apartment belonging to a tenant who is away on business and has entrusted Curley with a key to keep an eye on the property in his absence. Unfortunately, in the middle of the romantic meal, the apartment owner returns unexpectedly and is furious to discover the unauthorised use of his apartment. The situation degenerates into a physical fight, and the apartment owner subsequently files a charge of illegal entry against Curley. Things look bleak until the amiable Canley learns what has happened and steps in to set matters right.","Curley is a lift operator in a block of exclusive London apartments. Emily is a cleaning-girl with a client, Canley , in the block, and she and Curley are attracted to one another and long to be married, but their poor economic prospects stand in the way. Emily has to",Drama
34414967,"An aging Atlanta Braves baseball scout named Gus Lobel  is given one last assignment to prove his worth to the organization, who sees him as unable to adapt to changes in the business. His boss and friend Pete , who does not want to see him let go, asks Gus's daughter Mickey  to join him on the trip to make sure he's okay, against Gus's wishes. Together they scout a top new prospect in North Carolina, where Mickey begins to take an active role in her father's work to make up for his failing vision, which he has hidden from his bosses. Along the way Gus reconnects with Johnny , a rival team's scout who has a friendly history with Gus, as Gus was the man who scouted him when he was a baseball player, and who also takes an interest in Mickey.","An aging Atlanta Braves baseball scout named Gus Lobel is given one last assignment to prove his worth to the organization, who sees him as unable to adapt to changes in the business. His boss and friend Pete , who does not want to see him let go, asks Gus's",Drama
1364445," The crew of an M3 Lee tank, commanded by U.S. Army Master Sergeant Joe Gunn  and nicknamed Lulu Belle, become separated from their unit during a general retreat from Erwin Rommel's forces. At a bombed-out field hospital, the Americans pick up a motley collection of stragglers, among them British doctor Captain Halliday , four Commonwealth troops, and Free French Corporal Leroux . Halliday, the only officer, cedes command to Gunn. Later, they come upon Sudanese Sergeant Major Tambul ([[Rex Ingram  and his Italian prisoner, Giuseppe , who volunteers to lead them to a well at Hassan Barani. En route, Luftwaffe pilot Captain von Schletow  strafes the tank, killing one of the British soldiers , but is shot down and captured. Arriving at the well, they find it completely dry. Now running out of water, they are forced to detour to the desert well Bir Acroma marked on Gunn's map. They find it, but it is almost dry, providing only a trickle of water. When German scouts arrive in a half-track soon afterwards, Gunn sets up an ambush. Gunn finds out from one of the two enemy survivors that their mechanized battalion, desperate for water, is following close behind. He persuades the others to make a stand to delay the Germans, while Waco  takes the half-track in search of reinforcements. The two Germans are released to carry back an offer: ""food for water"", even though there is barely enough for Gunn's men. When the Germans return in force, Gunn changes the deal to ""guns for water"". The well has completely dried up by then. A standoff and battle of wills begins between Gunn and Major von Falken , the German commander. Gunn keeps up the pretence that the well is full of water and negotiates to buy time. Eventually, the Germans attack and are beaten off again and again, but one by one, the defenders are killed. During the fighting, von Schletow tries to escape, killing Giuseppe when he tries to alert Gunn. Tambul chases him down and kills him, at the cost of his own life. The thirst-maddened Germans' final assault turns into a full-blown surrender as they drop their weapons and claw across the sand towards the well. To Gunn's shock, he discovers that a German shell that exploded in the well has tapped into a source of water. Gunn and the only other Allied survivor disarm the Germans while they drink their fill. As they are marching their prisoners east, they encounter Allied troops guided by Waco. The movie ends with news of the Allied victory at the First Battle of El Alamein, turning back the tide of Rommel's Afrika Korps.","The crew of an M3 Lee tank, commanded by U.S. Army Master Sergeant Joe Gunn and nicknamed Lulu Belle, become separated from their unit during a general retreat from Erwin Rommel's forces. At a bombed-out field hospital, the Americans pick up a motley collection of stragglers, among them British doctor",Black-and-white
